piece,length_mm,width_mm,thickness_mm
door_1,1175,120,20.0
door_2,1175,120,20.0
door_3,1175,120,20.0
door_4,1175,120,20.0
door_5,1175,120,20.0
door_6,1175,120,20.0
door_7,1175,120,20.0
door_8,1175,110,20.0
back_wall_1,1050,120,20.0
back_wall_2,1050,120,20.0
back_wall_3,1050,120,20.0
back_wall_4,1050,120,20.0
back_wall_5,1050,120,20.0
back_wall_6,1050,120,20.0
back_wall_7,1050,120,20.0
back_wall_8,1050,20.0,20.0
left_wall_1,1175.0,120,20.0
left_wall_2,1156.4,120,20.0
left_wall_3,1137.7,120,20.0
left_wall_4,1119.1,120,20.0
left_wall_5,1100.5,120,20.0
left_wall_6,1081.8,120,20.0
left_wall_7,1063.2,85.0,20.0
right_wall_1,1175.0,120,20.0
right_wall_2,1156.4,120,20.0
right_wall_3,1137.7,120,20.0
right_wall_4,1119.1,120,20.0
right_wall_5,1100.5,120,20.0
right_wall_6,1081.8,120,20.0
right_wall_7,1063.2,85.0,20.0
floor_1,785.0,120,20.0
floor_2,785.0,120,20.0
floor_3,785.0,120,20.0
floor_4,785.0,120,20.0
floor_5,785.0,120,20.0
floor_6,785.0,120,20.0
floor_7,785.0,100.0,20.0
seat_top_1,500,120,20.0
seat_top_2,500,120,20.0
seat_top_3,500,120,20.0
seat_top_4,500,120,20.0
seat_top_5,500,120,20.0
seat_top_6,500,120,20.0
seat_top_7,500,100.0,20.0
seat_front_1,400.0,120,20.0
seat_front_2,400.0,120,20.0
seat_front_3,400.0,120,20.0
seat_front_4,400.0,120,20.0
seat_front_5,400.0,120,20.0
seat_front_6,400.0,120,20.0
seat_front_7,400.0,100.0,20.0
