piece,length_mm,width_mm,thickness_mm
front_post_left,1150,45.0,45.0
back_post_left,1150,45.0,45.0
front_post_right,1150,45.0,45.0
back_post_right,1150,45.0,45.0
front_bottom,860.0,45.0,45.0
back_bottom,860.0,45.0,45.0
left_bottom,760.0,45.0,45.0
left_top,760.0,45.0,45.0
right_bottom,760.0,45.0,45.0
right_top,760.0,45.0,45.0
back_top,860.0,45.0,45.0
roof_front,950,45.0,45.0
roof_back,950,45.0,45.0
roof_left,842.3,45.0,45.0
roof_right,842.3,45.0,45.0
roof_middle,860.0,45.0,45.0
floor_back_support,814.0,45.0,45.0
floor_diagonal,1065.1,45.0,45.0
seat_rail_1,814.0,45.0,45.0
seat_rail_2,814.0,45.0,45.0
seat_lower_rail,814.0,45.0,45.0
left_brace,1224.4,45.0,45.0
right_brace,1224.4,45.0,45.0
door_left,1050,45.0,45.0
door_right,1050,45.0,45.0
door_bottom,950,45.0,45.0
door_top,950,45.0,45.0
door_brace,1288.9,45.0,45.0
