material,stock,stock_length_mm,cuts,pieces,piece_lengths_mm,kerf_mm,used_mm,waste_mm
beam_45x45,1,5400.0,4,door_brace + left_brace + right_brace + front_post_left,1288.9 + 1224.4 + 1224.4 + 1150.0,8.4,4896.1,503.9
beam_45x45,2,5400.0,5,back_post_left + front_post_right + back_post_right + floor_diagonal + front_bottom,1150.0 + 1150.0 + 1150.0 + 1065.1 + 860.0,11.2,5386.3,13.7
beam_45x45,3,5400.0,5,door_left + door_right + roof_front + roof_back + door_bottom,1050.0 + 1050.0 + 950.0 + 950.0 + 950.0,11.2,4961.2,438.8
beam_45x45,4,5400.0,6,door_top + back_bottom + back_top + roof_middle + roof_left + roof_right,950.0 + 860.0 + 860.0 + 860.0 + 842.3 + 842.3,14,5228.6,171.4
beam_45x45,5,5400.0,6,floor_back_support + seat_rail_1 + seat_rail_2 + seat_lower_rail + left_bottom + left_top,814.0 + 814.0 + 814.0 + 814.0 + 760.0 + 760.0,14,4790,610
beam_45x45,6,5400.0,2,right_bottom + right_top,760.0 + 760.0,2.8,1522.8,3877.2
cladding_120x23,1,5400.0,5,door_1 + door_2 + door_3 + door_4 + seat_top_1,1175.0 + 1175.0 + 1175.0 + 1175.0 + 500.0,11.2,5211.2,188.8
cladding_120x23,2,5400.0,5,door_5 + door_6 + door_7 + door_8 + seat_top_2,1175.0 + 1175.0 + 1175.0 + 1175.0 + 500.0,11.2,5211.2,188.8
cladding_120x23,3,5400.0,5,left_wall_1 + right_wall_1 + left_wall_2 + right_wall_2 + seat_top_3,1175.0 + 1175.0 + 1156.4 + 1156.4 + 500.0,11.2,5174,226
cladding_120x23,4,5400.0,5,left_wall_3 + right_wall_3 + left_wall_4 + right_wall_4 + floor_1,1137.7 + 1137.7 + 1119.1 + 1119.1 + 782.0,11.2,5306.8,93.2
cladding_120x23,5,5400.0,5,left_wall_5 + right_wall_5 + left_wall_6 + right_wall_6 + floor_2,1100.5 + 1100.5 + 1081.8 + 1081.8 + 782.0,11.2,5157.8,242.2
cladding_120x23,6,5400.0,5,left_wall_7 + right_wall_7 + back_wall_1 + back_wall_2 + back_wall_3,1063.2 + 1063.2 + 1050.0 + 1050.0 + 1050.0,11.2,5287.6,112.4
cladding_120x23,7,5400.0,5,back_wall_4 + back_wall_5 + back_wall_6 + back_wall_7 + back_wall_8,1050.0 + 1050.0 + 1050.0 + 1050.0 + 1050.0,11.2,5261.2,138.8
cladding_120x23,8,5400.0,8,floor_3 + floor_4 + floor_5 + floor_6 + floor_7 + seat_top_4 + seat_top_5 + seat_front_1,782.0 + 782.0 + 782.0 + 782.0 + 782.0 + 500.0 + 500.0 + 397.0,19.6,5326.6,73.4
cladding_120x23,9,5400.0,8,seat_top_6 + seat_top_7 + seat_front_2 + seat_front_3 + seat_front_4 + seat_front_5 + seat_front_6 + seat_front_7,500.0 + 500.0 + 397.0 + 397.0 + 397.0 + 397.0 + 397.0 + 397.0,19.6,3401.6,1998.4
