code,piece,blank_length_mm,finished_long_mm,finished_short_mm,width_mm,thickness_mm,gang_cut,panel_end_trim_mm
LSV1,front_post_left,1150,,,45,45,,
LSV2,back_post_left,1150,,,45,45,,
RSV1,front_post_right,1150,,,45,45,,
RSV2,back_post_right,1150,,,45,45,,
FBH1,front_bottom,900,,,45,45,,
BWH1,back_bottom,900,,,45,45,,
LSH1,left_bottom,725,,,45,45,,
LSH2,left_top,725,,,45,45,,
RSH1,right_bottom,725,,,45,45,,
RSH2,right_top,725,,,45,45,,
BWH2,back_top,900,,,45,45,,
RBH1,roof_front,990,,,45,45,,
RBH2,roof_back,990,,,45,45,,
RBS1,roof_left,812.7,,,45,45,,
RBS2,roof_right,812.7,,,45,45,,
RBC1,roof_middle,900,,,45,45,,
FBB1,floor_back_support,854,,,45,45,,
FBS1,floor_left_support,657,,,45,45,,
FBS2,floor_right_support,657,,,45,45,,
SBH1,seat_rail_1,854,,,45,45,,
SBH2,seat_rail_2,854,,,45,45,,
SBH3,seat_lower_rail,854,,,45,45,,
SBS1,seat_support_left,387,,,45,45,,
SBS2,seat_support_right,387,,,45,45,,
LSD1,left_brace,1202.2,,,45,45,,
RSD1,right_brace,1202.2,,,45,45,,
BWD1,back_brace,1315.1,,,45,45,,
DBV1,door_left,1050,,,45,45,,
DBV2,door_right,1050,,,45,45,,
DBH1,door_bottom,900,,,45,45,,
DBH2,door_top,900,,,45,45,,
DBD1,door_brace,1315.1,,,45,45,,
