code,piece,blank_length_mm,finished_long_mm,finished_short_mm,width_mm,thickness_mm,gang_cut,panel_end_trim_mm
DCB1,door_1,1175,1175,1175,120.0,23,,10.0
DCB2,door_2,1175,1175,1175,120.0,23,,10.0
DCB3,door_3,1175,1175,1175,120.0,23,,10.0
DCB4,door_4,1175,1175,1175,120.0,23,,10.0
DCB5,door_5,1175,1175,1175,120.0,23,,10.0
DCB6,door_6,1175,1175,1175,120.0,23,,10.0
DCB7,door_7,1175,1175,1175,120.0,23,,10.0
DCB8,door_8,1175,1175,1175,120.0,23,,10.0
DCB9,door_9,1175,1175,1175,120.0,23,,10.0
BWC1,back_wall_1,1050,1050,1050,120.0,23,,36.0
BWC2,back_wall_2,1050,1050,1050,120.0,23,,36.0
BWC3,back_wall_3,1050,1050,1050,120.0,23,,36.0
BWC4,back_wall_4,1050,1050,1050,120.0,23,,36.0
BWC5,back_wall_5,1050,1050,1050,120.0,23,,36.0
BWC6,back_wall_6,1050,1050,1050,120.0,23,,36.0
BWC7,back_wall_7,1050,1050,1050,120.0,23,,36.0
BWC8,back_wall_8,1050,1050,1050,120.0,23,,36.0
LSC1,left_wall_1,1175,1175.0,1160.7,120.0,23,left_wall,10.0
LSC2,left_wall_2,1175,1160.7,1146.4,120.0,23,left_wall,10.0
LSC3,left_wall_3,1175,1146.4,1132.1,120.0,23,left_wall,10.0
LSC4,left_wall_4,1175,1132.1,1117.9,120.0,23,left_wall,10.0
LSC5,left_wall_5,1175,1117.9,1103.6,120.0,23,left_wall,10.0
LSC6,left_wall_6,1175,1103.6,1089.3,120.0,23,left_wall,10.0
LSC7,left_wall_7,1175,1089.3,1075.0,120.0,23,left_wall,10.0
RSC1,right_wall_1,1175,1175.0,1160.7,120.0,23,right_wall,10.0
RSC2,right_wall_2,1175,1160.7,1146.4,120.0,23,right_wall,10.0
RSC3,right_wall_3,1175,1146.4,1132.1,120.0,23,right_wall,10.0
RSC4,right_wall_4,1175,1132.1,1117.9,120.0,23,right_wall,10.0
RSC5,right_wall_5,1175,1117.9,1103.6,120.0,23,right_wall,10.0
RSC6,right_wall_6,1175,1103.6,1089.3,120.0,23,right_wall,10.0
RSC7,right_wall_7,1175,1089.3,1075.0,120.0,23,right_wall,10.0
FCB1,floor_1,747,747,747,120.0,23,,36.0
FCB2,floor_2,747,747,747,120.0,23,,36.0
FCB3,floor_3,747,747,747,120.0,23,,36.0
FCB4,floor_4,747,747,747,120.0,23,,36.0
FCB5,floor_5,747,747,747,120.0,23,,36.0
FCB6,floor_6,747,747,747,120.0,23,,36.0
FCB7,floor_7,747,747,747,120.0,23,,36.0
FCB8,floor_8,747,747,747,120.0,23,,36.0
STB1,seat_top_1,852,852,852,120.0,23,,60.0
STB2,seat_top_2,852,852,852,120.0,23,,60.0
STB3,seat_top_3,852,852,852,120.0,23,,60.0
STB4,seat_top_4,852,852,852,120.0,23,,60.0
STB5,seat_top_5,852,852,852,120.0,23,,60.0
SFB1,seat_front_1,397,397,397,120.0,23,,36.0
SFB2,seat_front_2,397,397,397,120.0,23,,36.0
SFB3,seat_front_3,397,397,397,120.0,23,,36.0
SFB4,seat_front_4,397,397,397,120.0,23,,36.0
SFB5,seat_front_5,397,397,397,120.0,23,,36.0
SFB6,seat_front_6,397,397,397,120.0,23,,36.0
SFB7,seat_front_7,397,397,397,120.0,23,,36.0
SFB8,seat_front_8,397,397,397,120.0,23,,36.0
