part,quantity,length_mm,width_mm,thickness_mm,material
D1,2,1203.0,45,45,wood
D2,2,1315.9,45,45,wood
HK1,4,725,45,45,wood
HK2,2,812.7,45,45,wood
HL1,3,854,45,45,wood
HL1,2,900,45,45,wood
HL2,2,900,45,45,wood
HL2,2,990,45,45,wood
V1,4,1150,45,45,wood
V2,2,1050,45,45,wood
back cladding,1,854,1050,23,wood
cladding,1,1175,990,23,wood
floor,1,747,854,23,dark wood
floor support,2,657,45,45,wood
floor support,1,854,45,45,wood
front opening rail,1,900,45,45,wood
hinge leaf,2,150,45,5,metal
hinge leaf,2,150,50.0,5,metal
hinge pin,2,150,12,12,metal
metal roof,1,1085,1050,1,metal roof
roof connector,1,900,45,45,wood
roof hinge leaf,1,900,45,5,metal
roof hinge leaf,1,900,53,5,metal
roof hinge pin,1,900,16,16,metal
seat side,1,397,854,23,wood
seat support,2,387,45,45,wood
seat top,1,500,854,23,wood
side cladding,2,770,1175,23,wood
